I_x(Ch1),I_z(Ch2)
1e-08,-1.2e-09
1.0473222288188955e-08,-1.5e-09
1.0968838509781765e-08,-1.2e-09
1.1487908395619171e-08,-1.3e-09
1.2031541825367172e-08,-5.1e-09
1.2600901200671308e-08,-1.3e-09
1.3197203930613742e-08,-1.4000000000000001e-09
1.3821725034787873e-08,-1e-09
1.4475799869555961e-08,-1.2e-09
1.5160826983319592e-08,-1.2e-09
1.5878271106907928e-08,-1.3e-09
1.6629666285477483e-08,-1.1000000000000001e-09
1.7416619158620717e-08,-1.4000000000000001e-09
1.8240812395696488e-08,-1.2e-09
1.9104008293728182e-08,-1.6e-09
2.0008052545562066e-08,-1.4000000000000001e-09
2.0954878186343637e-08,-1.5e-09
2.1946509726749825e-08,-1e-09
2.2985067481815196e-08,-1.2e-09
2.4072772104607408e-08,-1.1000000000000001e-09
2.5211949334446712e-08,-1.2e-09
2.6405034969821799e-08,-1.4000000000000001e-09
2.7654580076634641e-08,-9e-10
2.8963256442911614e-08,-1.2e-09
3.0333862291643364e-08,-1.3e-09
3.1769328263969378e-08,-1.6e-09
3.3272723685499533e-08,-1.4000000000000001e-09
3.484726312917256e-08,-1.2e-09
3.6496313288683521e-08,-1.2e-09
3.8223400177176693e-08,-1.2e-09
4.0032216666597261e-08,-1.4000000000000001e-09
4.1926630383821489e-08,-1.4000000000000001e-09
4.3910691980449947e-08,-1.5e-09
4.5988643793944837e-08,-1.5e-09
4.8164928918632469e-08,-1.3e-09
5.0444200705965833e-08,-1.3e-09
5.2831332714359833e-08,-1.3e-09
5.5331429129875968e-08,-1.4000000000000001e-09
5.7949835680036342e-08,-1.5e-09
6.069215106410441e-08,-1.4000000000000001e-09
6.3564238924270933e-08,-1.5e-09
6.6572240383344089e-08,-1.3e-09
6.9722587175751203e-08,-1.5e-09
7.3022015399927485e-08,-1.6e-09
7.6477579921499769e-08,-1.6e-09
8.0096669458060181e-08,-1.7000000000000001e-09
8.3887022377785935e-08,-1.4000000000000001e-09
8.785674324568332e-08,-1.8e-09
9.2014320152838309e-08,-1.8e-09
9.6368642865726031e-08,-2.1e-09
1.0092902183438434e-07,-1.8e-09
1.0570520810009836e-07,-1.9e-09
1.1070741414516018e-07,-2.1e-09
1.1594633572928544e-07,-1.8e-09
1.2143317475937917e-07,-2.2000000000000003e-09
1.2717966324154717e-07,-2.5e-09
1.3319808836657373e-07,-2.6e-09
1.3950131878249617e-07,-2.6e-09
1.4610283211045915e-07,-3e-09
1.5301674376267897e-07,-3.2e-09
1.6025783712413842e-07,-3.2e-09
1.6784159516254818e-07,-3.4000000000000003e-09
1.7578423353415833e-07,-3.7e-09
1.8410273525621593e-07,-3.9e-09
1.9281488702019513e-07,-4.3000000000000005e-09
2.0193931722345426e-07,-4.6e-09
2.1149553580063408e-07,-5e-09
2.2150397593996613e-07,-5.3e-09
2.3198603777369233e-07,-5.8e-09
2.4296413413600741e-07,-6.4e-09
2.544617384863764e-07,-7.1e-09
2.665034351006826e-07,-7.3e-09
2.7911497163753877e-07,-8e-09
2.9232331419214992e-07,-8.9e-09
3.0615670495544807e-07,-9.5e-09
3.2064472260178882e-07,-1.03e-08
3.3581834553432128e-07,-1.11e-08
3.5171001812327932e-07,-1.22e-08
3.6835372007880703e-07,-1.32e-08
3.8578503910666767e-07,-1.46e-08
4.0404124700217993e-07,-1.57e-08
4.2316137934508812e-07,-1.74e-08
4.4318631896577577e-07,-1.8700000000000002e-08
4.6415888336127821e-07,-2.05e-08
