V_input,I_1
0.11005025125628137,2.12e-06
0.11306532663316582,2.14e-06
0.11608040201005027,2.14e-06
0.11909547738693466,2.16e-06
0.1221105527638191,2.16e-06
0.12512562814070349,2.18e-06
0.12814070351758794,2.18e-06
0.13115577889447233,2.19e-06
0.13417085427135678,2.2e-06
0.13718592964824122,2.2e-06
0.14020100502512561,2.2e-06
0.14321608040201006,2.21e-06
0.14623115577889445,2.21e-06
0.1492462311557789,2.22e-06
0.15226130653266329,2.22e-06
0.15527638190954773,2.2300000000000002e-06
0.15829145728643218,2.2300000000000002e-06
0.16130653266331657,2.2300000000000002e-06
0.16432160804020102,2.2300000000000002e-06
0.16733668341708541,2.24e-06
0.17035175879396985,2.24e-06
0.17336683417085424,2.24e-06
0.17638190954773869,2.24e-06
0.17939698492462308,2.25e-06
0.18241206030150753,2.25e-06
0.18542713567839197,2.25e-06
0.18844221105527637,2.25e-06
0.19145728643216081,2.25e-06
0.1944723618090452,2.25e-06
0.19748743718592965,2.25e-06
0.20050251256281409,2.25e-06
0.20351758793969849,2.25e-06
0.20653266331658288,2.25e-06
0.20954773869346738,2.26e-06
0.21256281407035177,2.26e-06
0.21557788944723616,2.26e-06
0.21859296482412055,2.26e-06
0.22160804020100505,2.26e-06
0.22462311557788944,2.25e-06
0.22763819095477383,2.26e-06
0.23065326633165834,2.26e-06
0.23366834170854273,2.26e-06
0.23668341708542712,2.27e-06
0.23969849246231151,2.27e-06
0.24271356783919601,2.26e-06
0.2457286432160804,2.26e-06
0.24874371859296479,2.26e-06
0.25175879396984918,2.26e-06
0.25477386934673368,2.26e-06
0.25778894472361807,2.26e-06
0.26080402010050246,2.27e-06
0.26381909547738697,2.26e-06
0.26683417085427136,2.27e-06
0.26984924623115575,2.26e-06
0.27286432160804014,2.27e-06
0.27587939698492464,2.27e-06
0.27889447236180903,2.26e-06
0.28190954773869342,2.26e-06
0.28492462311557792,2.27e-06
0.28793969849246231,2.26e-06
0.29095477386934671,2.26e-06
0.2939698492462311,2.27e-06
0.2969849246231156,2.27e-06
0.29999999999999999,2.26e-06
